Frequency,MOSFET current: Magnitude,MOSFET current: Phase,Diode current: Magnitude,Diode current: Phase
18200000.000,0.010,-0.038,0.024,3.111
18300000.000,0.006,-0.888,0.016,2.281
18400000.000,0.001,-2.255,0.003,1.003
18500000.000,0.004,1.062,0.011,-2.121
18600000.000,0.008,0.162,0.021,-2.992
18700000.000,0.010,-0.660,0.025,2.482
18800000.000,0.008,-1.483,0.021,1.673
18900000.000,0.004,-2.389,0.011,0.797
19000000.000,0.002,0.877,0.004,-2.378
19100000.000,0.006,-0.435,0.016,2.682
19200000.000,0.009,-1.283,0.023,1.853
19300000.000,0.009,-2.100,0.024,1.048
19400000.000,0.007,-2.938,0.017,0.226
19500000.000,0.002,2.236,0.005,-0.818
19600000.000,0.003,-0.953,0.009,2.136
19700000.000,0.008,-1.896,0.019,1.230
19800000.000,0.009,-2.723,0.024,0.418
19900000.000,0.008,2.741,0.021,-0.389
20000000.000,0.005,1.864,0.012,-1.241
20100000.000,0.001,-0.613,0.002,2.449
20200000.000,0.005,-2.481,0.013,0.630
20300000.000,0.008,2.940,0.021,-0.210
20400000.000,0.009,2.121,0.023,-1.016
20500000.000,0.007,1.291,0.017,-1.832
20600000.000,0.003,0.299,0.007,-2.777
20700000.000,0.003,-2.935,0.006,0.138
20800000.000,0.007,2.331,0.017,-0.829
20900000.000,0.009,1.498,0.022,-1.646
21000000.000,0.008,0.680,0.021,-2.452
21100000.000,0.005,-0.177,0.013,2.994
21200000.000,0.001,-1.833,0.002,1.417
21300000.000,0.004,1.763,0.011,-1.415
21400000.000,0.008,0.880,0.019,-2.273
21500000.000,0.009,0.059,0.022,-3.080
21600000.000,0.007,-0.766,0.018,2.391
21700000.000,0.003,-1.695,0.008,1.497
21800000.000,0.002,1.440,0.004,-1.797
21900000.000,0.006,0.278,0.014,-2.886
22000000.000,0.008,-0.564,0.021,2.573
22100000.000,0.008,-1.381,0.020,1.768
22200000.000,0.006,-2.225,0.014,0.942
22300000.000,0.001,2.833,0.004,-0.205
22400000.000,0.003,-0.262,0.009,2.833
22500000.000,0.007,-1.179,0.017,1.949
22600000.000,0.008,-2.003,0.021,1.139
22700000.000,0.007,-2.824,0.018,0.330
22800000.000,0.004,2.567,0.010,-0.534
22900000.000,0.001,-0.274,0.002,2.748
23000000.000,0.005,-1.772,0.012,1.343
23100000.000,0.008,-2.625,0.019,0.510
23200000.000,0.008,2.841,0.020,-0.296
23300000.000,0.006,2.006,0.015,-1.115
23400000.000,0.002,0.959,0.005,-2.106
23500000.000,0.003,-2.266,0.006,0.817
23600000.000,0.006,3.047,0.015,-0.111
23700000.000,0.008,2.218,0.020,-0.926
23800000.000,0.007,1.399,0.018,-1.732
23900000.000,0.004,0.532,0.011,-2.577
24000000.000,0.001,-1.566,0.002,1.594
24100000.000,0.004,2.468,0.010,-0.706
24200000.000,0.007,1.598,0.017,-1.553
24300000.000,0.008,0.779,0.019,-2.360
24400000.000,0.006,-0.049,0.015,3.110
24500000.000,0.003,-1.009,0.006,2.190
24600000.000,0.002,2.060,0.005,-1.161
24700000.000,0.005,0.992,0.014,-2.170
24800000.000,0.007,0.156,0.018,-2.990
24900000.000,0.007,-0.662,0.018,2.488
25000000.000,0.005,-1.513,0.012,1.656
25100000.000,0.001,-2.929,0.002,0.330
25200000.000,0.003,0.435,0.008,-2.747
25300000.000,0.006,-0.462,0.016,2.668
25400000.000,0.007,-1.284,0.018,1.859
25500000.000,0.006,-2.107,0.015,1.049
25600000.000,0.003,-3.017,0.008,0.170
25700000.000,0.001,0.213,0.003,-3.037
25800000.000,0.005,-1.060,0.012,2.057
25900000.000,0.007,-1.906,0.017,1.230
26000000.000,0.007,-2.723,0.017,0.425
26100000.000,0.005,2.720,0.012,-0.398
26200000.000,0.002,1.591,0.004,-1.460
26300000.000,0.003,-1.583,0.007,1.507
26400000.000,0.006,-2.520,0.014,0.607
26500000.000,0.007,2.937,0.018,-0.205
26600000.000,0.006,2.117,0.016,-1.013
26700000.000,0.003,1.238,0.009,-1.867
26800000.000,0.001,-1.331,0.002,1.715
26900000.000,0.004,-3.107,0.010,0.005
27000000.000,0.006,2.316,0.016,-0.834
27100000.000,0.007,1.498,0.017,-1.639
27200000.000,0.005,0.667,0.013,-2.456
27300000.000,0.002,-0.335,0.005,2.873
27400000.000,0.002,2.713,0.005,-0.496
27500000.000,0.005,1.707,0.013,-1.453
27600000.000,0.007,0.875,0.017,-2.269
27700000.000,0.006,0.057,0.016,-3.075
27800000.000,0.004,-0.803,0.010,2.369
27900000.000,0.001,-2.540,0.002,0.700
28000000.000,0.003,1.137,0.008,-2.041
28100000.000,0.006,0.256,0.015,-2.896
28200000.000,0.007,-0.564,0.017,2.580
28300000.000,0.005,-1.390,0.013,1.768
28400000.000,0.002,-2.324,0.006,0.869
28500000.000,0.001,0.792,0.003,-2.441
28600000.000,0.004,-0.347,0.011,2.773
28700000.000,0.006,-1.187,0.016,1.950
28800000.000,0.006,-2.004,0.016,1.145
28900000.000,0.004,-2.850,0.011,0.317
29000000.000,0.001,2.176,0.003,-0.859
29100000.000,0.003,-0.891,0.007,2.206
29200000.000,0.005,-1.803,0.013,1.325
29300000.000,0.006,-2.627,0.016,0.515
29400000.000,0.005,2.835,0.014,-0.293
29500000.000,0.003,1.940,0.007,-1.160
29600000.000,0.001,-0.957,0.002,2.066
29700000.000,0.004,-2.397,0.010,0.718
29800000.000,0.006,3.035,0.015,-0.114
29900000.000,0.006,2.217,0.015,-0.919
30000000.000,0.004,1.382,0.011,-1.739
30100000.000,0.002,0.320,0.004,-2.743
30200000.000,0.002,-2.898,0.005,0.186
30300000.000,0.005,2.423,0.012,-0.735
30400000.000,0.006,1.594,0.015,-1.549
30500000.000,0.005,0.775,0.014,-2.355
30600000.000,0.003,-0.094,0.008,3.081
30700000.000,0.001,-2.297,0.001,0.834
30800000.000,0.003,1.842,0.008,-1.331
30900000.000,0.005,0.974,0.014,-2.177
31000000.000,0.006,0.155,0.015,-2.983
31100000.000,0.005,-0.673,0.012,2.486
31200000.000,0.002,-1.641,0.005,1.560
31300000.000,0.002,1.420,0.004,-1.798
31400000.000,0.004,0.367,0.011,-2.794
31500000.000,0.006,-0.468,0.015,2.670
31600000.000,0.005,-1.285,0.014,1.865
31700000.000,0.004,-2.138,0.009,1.032
31800000.000,0.001,2.673,0.002,-0.350
31900000.000,0.003,-0.193,0.007,2.909
